Content,Label,Reason
Don't you ever fucking post that again.,Inappropriate,fucking
"Eat my ass, you piece of shit!",Inappropriate,"Eat my ass, piece of shit"
I just got shat on for having a s&m kink.,Inappropriate,"shat, s&m, kink"
My roommate is such an asshole.,Inappropriate,asshole
Damn! That bitch got huge tits!,Inappropriate,"bitch, tits"
Anyone here who wants to rent a flat for ?300?,Appropriate,
I'd fuck her ass so bad.,Inappropriate,"fuck, ass"
"Stop asking me to loan you cash, bitch!",Inappropriate,bitch
Clean up your poop after you use the bathroom!,Inappropriate,poop
Are you really gonna stay home all day and watch porn?,Inappropriate,porn
Anyone up for a trip to the pub at 6 PM?,Appropriate,
I'm hosting a game night at my halls tonight if anyone is interested.,Appropriate,
Free pizza at the student union's building today!,Appropriate,
Just shaved my balls and feel great!,Inappropriate,shaved my balls
Went to a party and found spunk on my leg. Gross!,Inappropriate,spunk
Anyone finished the assignment for module 4003 yet?,Appropriate,
Got asked to have a threesome with my boyfriend.,Inappropriate,threesome
Anyone knows about any good strip clubs in Newcastle?,Inappropriate,strip clubs
Get these coons off my lawn!,Inappropriate,coons
You can't say nigger and you can't say nigga either.,Inappropriate,"nigger, nigga"
Just met a busty chick on my way to the law building.,Inappropriate,"busty, busty chick"
Make sure to be well hydrated during summer.,Appropriate,
It is impolite to leave in the middle of a lecture.,Appropriate,
Always be sure to attend your seminars on time.,Appropriate,
I'm seriously tired of this circlejerk!,Inappropriate,circlejerk
"Alright, who left this fucking dildo outside my room?!",Inappropriate,"fucking, dildo"
NUnite is a pretty good app!,Appropriate,
Don't try to cheat on exams.,Appropriate,
This semester could have been better.,Appropriate,
